protocol,carrier,num_tcp_conn,server_location,run_num,seq_num,throughput_mbps
0,0,1,0,1,0,0.0004518801758739476
0,0,1,0,1,1,0.0009467814950433322
0,0,1,0,1,2,0.0015369765066896557
0,0,1,0,1,3,0.002531399580454838
0,0,1,0,1,4,0.0026588417303024677
0,0,1,0,1,5,0.0024144599737192505
0,0,1,0,1,6,0.002324108862396799
0,0,1,0,1,7,0.0029037310317209467
0,0,1,0,1,8,0.003999153950574013
0,0,1,0,1,9,0.004748235707270776
0,0,1,0,1,10,0.004249857451563314
0,0,1,0,1,11,0.002748417748817637
0,0,1,0,1,12,0.0
0,0,1,0,1,13,0.007860512243738595
0,0,1,0,1,14,0.010497284833000232
0,0,1,0,1,15,0.016747562199282306
0,0,1,0,1,16,0.016996778114913885
0,0,1,0,1,17,0.01899601976133871
0,0,1,0,1,18,0.017996552120804324
0,0,1,0,1,19,0.0204958276955314
0,0,1,0,1,20,0.02049564200749467
0,0,1,0,1,21,0.024495013587342403
0,0,1,0,1,22,0.022495802783783183
0,0,1,0,1,23,0.02024492770704813
0,0,1,0,1,24,0.0214965261959326
0,0,1,0,1,25,0.02299575474452043
0,0,1,0,1,26,0.0234947941951937
0,0,1,0,1,27,0.02449489094692891
0,0,1,0,1,28,0.011247349649670405
0,0,1,0,1,29,0.01749748746266015
0,0,1,0,1,30,0.023245173781050087
0,0,1,0,1,31,0.024745555633734956
0,0,1,0,1,32,0.022495037171291588
0,0,1,0,1,33,0.02074511157605875
0,0,1,0,1,34,0.025496109388417332
0,0,1,0,1,35,0.02599413503114163
0,0,1,0,1,36,0.0287442068490181
0,0,1,0,1,37,0.03049193135081098
0,0,1,0,1,38,0.032995031960444954
0,0,1,0,1,39,0.025494120178489555
0,0,1,0,1,40,0.028744924734034154
0,0,1,0,1,41,0.02624444780064196
0,0,1,0,1,42,0.022495510477242214
0,0,1,0,1,43,0.02399573894127572
0,0,1,0,1,44,0.01824637698689622
0,0,1,0,1,45,0.01599595984723896
0,0,1,0,1,46,0.017747345780817443
0,0,1,0,1,47,0.013997163970034513
0,0,1,0,1,48,0.021246120810271774
0,0,1,0,1,49,0.01899567783074573
0,0,1,0,1,50,0.021494827269718773
0,0,1,0,1,51,0.01624695221425128
0,0,1,0,1,52,0.01974677010493813
0,0,1,0,1,53,0.02099612389717083
0,0,1,0,1,54,0.021995763637382374
0,0,1,0,1,55,0.020495663996691813
0,0,1,0,1,56,0.01949653788978652
0,0,1,0,1,57,0.017494723973150043
0,0,1,0,1,58,0.005245716004187511
0,0,1,0,1,59,0.008468910284664564
0,0,1,0,2,0,0.01759882401286348
0,0,1,0,2,1,0.04571499827444805
0,0,1,0,2,2,0.06493589797532553
0,0,1,0,2,3,0.06614220134912845
0,0,1,0,2,4,0.08649969036936365
0,0,1,0,2,5,0.07631930749610083
0,0,1,0,2,6,0.03560783249235975
0,0,1,0,2,7,0.035623193319562735
0,0,1,0,2,8,0.02543994506017476
0,0,1,0,2,9,0.020346091302979236
0,0,1,0,2,10,0.035628002138215105
0,0,1,0,2,11,0.030524848318734296
0,0,1,0,2,12,0.020352179256576855
0,0,1,0,2,13,0.010173108695483959
0,0,1,0,2,14,0.015266471235796062
0,0,1,0,2,15,0.020353989366685876
0,0,1,0,2,16,0.010175143496207911
0,0,1,0,2,17,0.015265200834145565
0,0,1,0,2,18,0.015264563892847952
0,0,1,0,2,19,0.0050856585478275835
0,0,1,0,2,20,0.010175999859485252
0,0,1,0,2,21,0.01017629100731114
0,0,1,0,2,22,0.010178992197470354
0,0,1,0,2,23,0.005086696201564216
0,0,1,0,2,24,0.005087597218649895
0,0,1,0,2,25,0.005089668463430001
0,0,1,0,2,26,0.0050869714447959475
0,0,1,0,2,27,0.005086945980515353
0,0,1,0,2,28,0.005088487635142537
0,0,1,0,2,29,0.0050888128240219495
0,0,1,0,2,30,0.005087820400054987
0,0,1,0,2,31,0.005088304431354649
0,0,1,0,2,32,0.005086610118386375
