protocol,num_tcp_conn,seq_num,anonymized_mCid,radio_type,throughput_mbps,nrStatus,primitive_handoff_type
0,8,1,3,0,0.09654088050314465,1,3
0,8,2,3,0,0.15723270440251574,1,3
0,8,3,3,0,0.1949685534591195,1,3
0,8,4,3,0,0.20125786163522014,1,3
0,8,5,3,0,0.18238993710691825,1,3
0,8,6,3,0,0.19811320754716982,1,3
0,8,7,3,0,0.22012578616352202,1,3
0,8,8,3,0,0.21802935010482183,1,3
0,8,9,3,0,0.21802935010482183,1,3
0,8,10,3,0,0.23270440251572327,1,3
0,8,11,3,0,0.3008385744234801,1,3
0,8,12,3,0,0.17924528301886794,1,3
0,8,13,3,1,0.2379454926624738,0,1
0,8,14,3,1,0.09884696016771488,0,3
0,8,15,3,1,0.09895178197064991,0,3
0,8,16,3,1,0.4067085953878407,0,3
0,8,17,3,1,0.5828092243186583,0,3
0,8,18,3,1,0.8354297693920336,0,3
0,8,19,3,1,0.7473794549266248,0,3
0,8,20,3,1,0.6593291404612159,0,3
0,8,21,3,1,0.7368972746331237,0,3
0,8,22,3,1,0.7589098532494759,0,3
0,8,23,3,1,0.5607966457023061,0,3
0,8,24,3,1,0.5712788259958071,0,3
0,8,25,3,1,0.6373165618448637,0,3
0,8,26,3,1,0.7253668763102725,0,3
0,8,27,3,1,0.769392033542977,0,3
0,8,28,3,1,0.4947589098532495,0,3
0,8,29,3,1,0.8459119496855346,0,3
0,8,30,3,1,0.8238993710691824,0,3
0,8,31,3,1,0.769392033542977,0,3
0,8,32,3,1,0.6048218029350105,0,3
0,8,33,3,1,0.6928721174004193,0,3
0,8,34,3,1,0.6708595387840671,0,3
0,8,35,3,1,0.7368972746331237,0,3
0,8,36,3,1,0.7368972746331237,0,3
0,8,37,3,1,0.7589098532494759,0,3
0,8,38,3,1,0.7473794549266248,0,3
0,8,39,3,1,0.6048218029350105,0,3
0,8,40,3,1,0.5712788259958071,0,3
0,8,41,3,1,0.8679245283018868,0,3
0,8,42,3,1,0.9014675052410902,0,3
0,8,43,3,1,0.7148846960167715,0,3
0,8,44,3,1,0.5712788259958071,0,3
0,8,45,3,1,0.6048218029350105,0,3
0,8,46,3,1,0.5922431865828093,0,3
0,8,47,3,1,0.6383647798742139,0,3
0,8,48,3,1,0.7358490566037736,0,3
0,8,49,3,1,0.7578616352201258,0,3
0,8,50,3,1,0.7253668763102725,0,3
0,8,51,3,1,0.5712788259958071,0,3
0,8,52,3,1,0.4287211740041929,0,3
0,8,53,3,1,0.6268343815513627,0,3
0,8,54,3,0,0.779874213836478,1,0
0,8,55,3,0,0.7589098532494759,1,3
0,8,56,3,0,0.19811320754716982,1,3
0,8,57,5,0,0.0330188679245283,1,2
0,8,58,5,1,0.0330188679245283,0,1
0,8,59,5,1,0.04392033542976939,0,3
0,8,60,5,1,0.011006289308176102,0,3
0,8,61,5,1,0.15408805031446543,0,3
0,8,62,5,1,0.5828092243186583,0,3
0,8,63,5,1,0.6593291404612159,0,3
0,8,64,5,1,0.5167714884696017,0,3
0,8,65,5,1,0.5828092243186583,0,3
0,8,66,5,1,0.7473794549266248,0,3
0,8,67,5,1,0.5828092243186583,0,3
0,8,68,5,1,0.5052410901467506,0,3
0,8,69,5,1,0.8459119496855346,0,3
0,8,70,5,1,0.9454926624737946,0,3
0,8,71,5,1,0.9119496855345912,0,3
0,8,72,5,1,0.989517819706499,0,3
0,8,73,5,1,0.9119496855345912,0,3
0,8,74,5,1,0.8679245283018868,0,3
0,8,75,5,1,0.8679245283018868,0,3
0,8,76,5,1,0.879454926624738,0,3
0,8,77,5,1,0.9339622641509434,0,3
